src,dst,edge_attr_0,edge_attr_1,edge_attr_2,graph_id
0,1,1.0,0.0,0.0,0
0,7,1.0,0.0,0.0,0
1,0,1.0,0.0,0.0,0
1,2,1.5,1.0,1.0,0
1,5,1.5,1.0,1.0,0
2,1,1.5,1.0,1.0,0
2,3,1.5,1.0,1.0,0
3,2,1.5,1.0,1.0,0
3,4,1.5,1.0,1.0,0
3,6,1.0,0.0,0.0,0
4,3,1.5,1.0,1.0,0
4,5,1.5,1.0,1.0,0
5,1,1.5,1.0,1.0,0
5,4,1.5,1.0,1.0,0
6,3,1.0,0.0,0.0,0
7,0,1.0,0.0,0.0,0
7,8,1.0,0.0,0.0,0
8,7,1.0,0.0,0.0,0
9,10,1.0,0.0,0.0,0
9,11,1.0,0.0,0.0,0
9,12,1.0,0.0,0.0,0
9,13,1.0,0.0,0.0,0
10,9,1.0,0.0,0.0,0
11,9,1.0,0.0,0.0,0
12,9,1.0,0.0,0.0,0
13,9,1.0,0.0,0.0,0
0,1,1.0,0.0,0.0,1
0,7,1.0,0.0,0.0,1
1,0,1.0,0.0,0.0,1
1,2,1.5,1.0,1.0,1
1,5,1.5,1.0,1.0,1
2,1,1.5,1.0,1.0,1
2,3,1.5,1.0,1.0,1
3,2,1.5,1.0,1.0,1
3,4,1.5,1.0,1.0,1
3,6,1.0,0.0,0.0,1
4,3,1.5,1.0,1.0,1
4,5,1.5,1.0,1.0,1
5,1,1.5,1.0,1.0,1
5,4,1.5,1.0,1.0,1
6,3,1.0,0.0,0.0,1
7,0,1.0,0.0,0.0,1
7,8,1.0,0.0,0.0,1
8,7,1.0,0.0,0.0,1
8,9,1.0,0.0,0.0,1
9,8,1.0,0.0,0.0,1
10,11,1.0,0.0,0.0,1
10,12,1.0,0.0,0.0,1
10,13,1.0,0.0,0.0,1
10,14,1.0,0.0,0.0,1
11,10,1.0,0.0,0.0,1
12,10,1.0,0.0,0.0,1
13,10,1.0,0.0,0.0,1
14,10,1.0,0.0,0.0,1
0,1,1.0,0.0,0.0,2
0,7,1.0,0.0,0.0,2
1,0,1.0,0.0,0.0,2
1,2,1.5,1.0,1.0,2
1,5,1.5,1.0,1.0,2
2,1,1.5,1.0,1.0,2
2,3,1.5,1.0,1.0,2
3,2,1.5,1.0,1.0,2
3,4,1.5,1.0,1.0,2
3,6,1.0,0.0,0.0,2
4,3,1.5,1.0,1.0,2
4,5,1.5,1.0,1.0,2
5,1,1.5,1.0,1.0,2
5,4,1.5,1.0,1.0,2
6,3,1.0,0.0,0.0,2
7,0,1.0,0.0,0.0,2
7,8,1.0,0.0,0.0,2
8,7,1.0,0.0,0.0,2
8,9,1.0,0.0,0.0,2
9,8,1.0,0.0,0.0,2
10,11,1.0,0.0,0.0,2
10,18,1.0,0.0,0.0,2
11,10,1.0,0.0,0.0,2
11,12,2.0,0.0,0.0,2
11,13,2.0,0.0,0.0,2
11,14,1.0,0.0,0.0,2
12,11,2.0,0.0,0.0,2
13,11,2.0,0.0,0.0,2
14,11,1.0,0.0,0.0,2
14,15,1.0,0.0,0.0,2
14,16,1.0,0.0,0.0,2
14,17,1.0,0.0,0.0,2
15,14,1.0,0.0,0.0,2
16,14,1.0,0.0,0.0,2
17,14,1.0,0.0,0.0,2
18,10,1.0,0.0,0.0,2
18,19,2.0,0.0,0.0,2
18,20,2.0,0.0,0.0,2
18,21,1.0,0.0,0.0,2
19,18,2.0,0.0,0.0,2
20,18,2.0,0.0,0.0,2
21,18,1.0,0.0,0.0,2
21,22,1.0,0.0,0.0,2
21,23,1.0,0.0,0.0,2
21,24,1.0,0.0,0.0,2
22,21,1.0,0.0,0.0,2
23,21,1.0,0.0,0.0,2
24,21,1.0,0.0,0.0,2
0,1,1.0,0.0,0.0,3
1,0,1.0,0.0,0.0,3
2,3,2.0,1.0,0.0,3
2,4,1.0,1.0,0.0,3
3,2,2.0,1.0,0.0,3
4,2,1.0,1.0,0.0,3
0,1,1.0,0.0,0.0,4
1,0,1.0,0.0,0.0,4
1,2,1.0,0.0,0.0,4
2,1,1.0,0.0,0.0,4
2,3,1.5,1.0,1.0,4
2,6,1.5,1.0,1.0,4
3,2,1.5,1.0,1.0,4
3,4,1.5,1.0,1.0,4
4,3,1.5,1.0,1.0,4
4,5,1.5,1.0,1.0,4
5,4,1.5,1.0,1.0,4
5,6,1.5,1.0,1.0,4
5,7,1.0,0.0,0.0,4
6,2,1.5,1.0,1.0,4
6,5,1.5,1.0,1.0,4
7,5,1.0,0.0,0.0,4
8,9,1.0,0.0,0.0,4
9,8,1.0,0.0,0.0,4
9,10,2.0,1.0,0.0,4
9,11,1.0,1.0,0.0,4
10,9,2.0,1.0,0.0,4
11,9,1.0,1.0,0.0,4
0,1,1.0,0.0,0.0,5
1,0,1.0,0.0,0.0,5
1,2,1.0,0.0,0.0,5
2,1,1.0,0.0,0.0,5
2,3,1.5,1.0,1.0,5
2,6,1.5,1.0,1.0,5
3,2,1.5,1.0,1.0,5
3,4,1.5,1.0,1.0,5
4,3,1.5,1.0,1.0,5
4,5,1.5,1.0,1.0,5
5,4,1.5,1.0,1.0,5
5,6,1.5,1.0,1.0,5
5,7,1.0,0.0,0.0,5
6,2,1.5,1.0,1.0,5
6,5,1.5,1.0,1.0,5
7,5,1.0,0.0,0.0,5
0,1,1.0,0.0,0.0,6
0,7,1.0,0.0,0.0,6
1,0,1.0,0.0,0.0,6
1,2,1.5,1.0,1.0,6
1,5,1.5,1.0,1.0,6
2,1,1.5,1.0,1.0,6
2,3,1.5,1.0,1.0,6
3,2,1.5,1.0,1.0,6
3,4,1.5,1.0,1.0,6
3,6,1.0,0.0,0.0,6
4,3,1.5,1.0,1.0,6
4,5,1.5,1.0,1.0,6
5,1,1.5,1.0,1.0,6
5,4,1.5,1.0,1.0,6
6,3,1.0,0.0,0.0,6
7,0,1.0,0.0,0.0,6
7,8,1.0,0.0,0.0,6
8,7,1.0,0.0,0.0,6
8,9,1.0,0.0,0.0,6
9,8,1.0,0.0,0.0,6
0,1,1.0,0.0,0.0,7
0,7,1.0,0.0,0.0,7
1,0,1.0,0.0,0.0,7
1,2,1.5,1.0,1.0,7
1,5,1.5,1.0,1.0,7
2,1,1.5,1.0,1.0,7
2,3,1.5,1.0,1.0,7
3,2,1.5,1.0,1.0,7
3,4,1.5,1.0,1.0,7
4,3,1.5,1.0,1.0,7
4,5,1.5,1.0,1.0,7
4,6,1.0,0.0,0.0,7
5,1,1.5,1.0,1.0,7
5,4,1.5,1.0,1.0,7
6,4,1.0,0.0,0.0,7
7,0,1.0,0.0,0.0,7
7,8,1.0,0.0,0.0,7
8,7,1.0,0.0,0.0,7
8,9,1.0,0.0,0.0,7
9,8,1.0,0.0,0.0,7
9,10,3.0,0.0,0.0,7
10,9,3.0,0.0,0.0,7
0,1,1.0,0.0,0.0,8
1,0,1.0,0.0,0.0,8
2,3,1.0,0.0,0.0,8
3,2,1.0,0.0,0.0,8
3,4,2.0,1.0,0.0,8
3,5,1.0,1.0,0.0,8
4,3,2.0,1.0,0.0,8
5,3,1.0,1.0,0.0,8
0,1,1.0,0.0,0.0,9
1,0,1.0,0.0,0.0,9
1,2,1.0,0.0,0.0,9
2,1,1.0,0.0,0.0,9
2,3,1.0,0.0,0.0,9
2,5,1.0,0.0,0.0,9
2,7,1.0,0.0,0.0,9
3,2,1.0,0.0,0.0,9
3,4,1.0,0.0,0.0,9
4,3,1.0,0.0,0.0,9
5,2,1.0,0.0,0.0,9
5,6,1.0,0.0,0.0,9
6,5,1.0,0.0,0.0,9
7,2,1.0,0.0,0.0,9
7,8,1.0,0.0,0.0,9
8,7,1.0,0.0,0.0,9
9,10,1.0,0.0,0.0,9
9,11,1.0,0.0,0.0,9
9,12,1.0,0.0,0.0,9
9,13,1.0,0.0,0.0,9
9,14,1.0,0.0,0.0,9
9,15,1.0,0.0,0.0,9
10,9,1.0,0.0,0.0,9
11,9,1.0,0.0,0.0,9
12,9,1.0,0.0,0.0,9
13,9,1.0,0.0,0.0,9
14,9,1.0,0.0,0.0,9
15,9,1.0,0.0,0.0,9
0,1,2.0,0.0,0.0,10
0,21,1.0,0.0,0.0,10
0,27,1.0,0.0,0.0,10
0,33,1.0,0.0,0.0,10
1,0,2.0,0.0,0.0,10
1,2,2.0,0.0,0.0,10
2,1,2.0,0.0,0.0,10
2,3,1.0,0.0,0.0,10
2,9,1.0,0.0,0.0,10
2,15,1.0,0.0,0.0,10
3,2,1.0,0.0,0.0,10
3,4,1.5,1.0,1.0,10
3,8,1.5,1.0,1.0,10
4,3,1.5,1.0,1.0,10
4,5,1.5,1.0,1.0,10
5,4,1.5,1.0,1.0,10
5,6,1.5,1.0,1.0,10
6,5,1.5,1.0,1.0,10
6,7,1.5,1.0,1.0,10
7,6,1.5,1.0,1.0,10
7,8,1.5,1.0,1.0,10
8,3,1.5,1.0,1.0,10
8,7,1.5,1.0,1.0,10
9,2,1.0,0.0,0.0,10
9,10,1.5,1.0,1.0,10
9,14,1.5,1.0,1.0,10
10,9,1.5,1.0,1.0,10
10,11,1.5,1.0,1.0,10
11,10,1.5,1.0,1.0,10
11,12,1.5,1.0,1.0,10
12,11,1.5,1.0,1.0,10
12,13,1.5,1.0,1.0,10
13,12,1.5,1.0,1.0,10
13,14,1.5,1.0,1.0,10
14,9,1.5,1.0,1.0,10
14,13,1.5,1.0,1.0,10
15,2,1.0,0.0,0.0,10
15,16,1.5,1.0,1.0,10
15,20,1.5,1.0,1.0,10
16,15,1.5,1.0,1.0,10
16,17,1.5,1.0,1.0,10
17,16,1.5,1.0,1.0,10
17,18,1.5,1.0,1.0,10
18,17,1.5,1.0,1.0,10
18,19,1.5,1.0,1.0,10
19,18,1.5,1.0,1.0,10
19,20,1.5,1.0,1.0,10
20,15,1.5,1.0,1.0,10
20,19,1.5,1.0,1.0,10
21,0,1.0,0.0,0.0,10
21,22,1.5,1.0,1.0,10
21,26,1.5,1.0,1.0,10
22,21,1.5,1.0,1.0,10
22,23,1.5,1.0,1.0,10
23,22,1.5,1.0,1.0,10
23,24,1.5,1.0,1.0,10
24,23,1.5,1.0,1.0,10
24,25,1.5,1.0,1.0,10
25,24,1.5,1.0,1.0,10
25,26,1.5,1.0,1.0,10
26,21,1.5,1.0,1.0,10
26,25,1.5,1.0,1.0,10
27,0,1.0,0.0,0.0,10
27,28,1.5,1.0,1.0,10
27,32,1.5,1.0,1.0,10
28,27,1.5,1.0,1.0,10
28,29,1.5,1.0,1.0,10
29,28,1.5,1.0,1.0,10
29,30,1.5,1.0,1.0,10
30,29,1.5,1.0,1.0,10
30,31,1.5,1.0,1.0,10
31,30,1.5,1.0,1.0,10
31,32,1.5,1.0,1.0,10
32,27,1.5,1.0,1.0,10
32,31,1.5,1.0,1.0,10
33,0,1.0,0.0,0.0,10
33,34,1.5,1.0,1.0,10
33,38,1.5,1.0,1.0,10
34,33,1.5,1.0,1.0,10
34,35,1.5,1.0,1.0,10
35,34,1.5,1.0,1.0,10
35,36,1.5,1.0,1.0,10
36,35,1.5,1.0,1.0,10
36,37,1.5,1.0,1.0,10
37,36,1.5,1.0,1.0,10
37,38,1.5,1.0,1.0,10
38,33,1.5,1.0,1.0,10
38,37,1.5,1.0,1.0,10
39,40,1.0,0.0,0.0,10
39,47,1.0,0.0,0.0,10
40,39,1.0,0.0,0.0,10
40,41,2.0,0.0,0.0,10
40,42,2.0,0.0,0.0,10
40,43,1.0,0.0,0.0,10
41,40,2.0,0.0,0.0,10
42,40,2.0,0.0,0.0,10
43,40,1.0,0.0,0.0,10
43,44,1.0,0.0,0.0,10
43,45,1.0,0.0,0.0,10
43,46,1.0,0.0,0.0,10
44,43,1.0,0.0,0.0,10
45,43,1.0,0.0,0.0,10
46,43,1.0,0.0,0.0,10
47,39,1.0,0.0,0.0,10
47,48,2.0,0.0,0.0,10
47,49,2.0,0.0,0.0,10
47,50,1.0,0.0,0.0,10
48,47,2.0,0.0,0.0,10
49,47,2.0,0.0,0.0,10
50,47,1.0,0.0,0.0,10
50,51,1.0,0.0,0.0,10
50,52,1.0,0.0,0.0,10
50,53,1.0,0.0,0.0,10
51,50,1.0,0.0,0.0,10
52,50,1.0,0.0,0.0,10
53,50,1.0,0.0,0.0,10
0,1,1.0,0.0,0.0,11
0,6,1.0,0.0,0.0,11
1,0,1.0,0.0,0.0,11
1,2,2.0,1.0,1.0,11
1,5,1.0,1.0,1.0,11
2,1,2.0,1.0,1.0,11
2,3,1.0,1.0,1.0,11
3,2,1.0,1.0,1.0,11
3,4,1.0,1.0,1.0,11
4,3,1.0,1.0,1.0,11
4,5,2.0,1.0,1.0,11
5,1,1.0,1.0,1.0,11
5,4,2.0,1.0,1.0,11
6,0,1.0,0.0,0.0,11
6,7,1.0,0.0,0.0,11
7,6,1.0,0.0,0.0,11
7,8,1.0,1.0,0.0,11
8,7,1.0,1.0,0.0,11
8,9,1.0,0.0,0.0,11
8,12,2.0,1.0,0.0,11
9,8,1.0,0.0,0.0,11
9,10,1.0,0.0,0.0,11
9,11,1.0,0.0,0.0,11
10,9,1.0,0.0,0.0,11
11,9,1.0,0.0,0.0,11
12,8,2.0,1.0,0.0,11
13,14,1.0,0.0,0.0,11
13,21,1.0,0.0,0.0,11
14,13,1.0,0.0,0.0,11
14,15,2.0,0.0,0.0,11
14,16,2.0,0.0,0.0,11
14,17,1.0,0.0,0.0,11
15,14,2.0,0.0,0.0,11
16,14,2.0,0.0,0.0,11
17,14,1.0,0.0,0.0,11
17,18,1.0,0.0,0.0,11
17,19,1.0,0.0,0.0,11
17,20,1.0,0.0,0.0,11
18,17,1.0,0.0,0.0,11
19,17,1.0,0.0,0.0,11
20,17,1.0,0.0,0.0,11
21,13,1.0,0.0,0.0,11
21,22,2.0,0.0,0.0,11
21,23,2.0,0.0,0.0,11
21,24,1.0,0.0,0.0,11
22,21,2.0,0.0,0.0,11
23,21,2.0,0.0,0.0,11
24,21,1.0,0.0,0.0,11
24,25,1.0,0.0,0.0,11
24,26,1.0,0.0,0.0,11
24,27,1.0,0.0,0.0,11
25,24,1.0,0.0,0.0,11
26,24,1.0,0.0,0.0,11
27,24,1.0,0.0,0.0,11
0,1,1.0,0.0,0.0,12
1,0,1.0,0.0,0.0,12
2,3,1.0,0.0,0.0,12
3,2,1.0,0.0,0.0,12
3,4,2.0,1.0,0.0,12
3,5,1.0,1.0,0.0,12
4,3,2.0,1.0,0.0,12
5,3,1.0,1.0,0.0,12
0,1,1.0,0.0,0.0,13
1,0,1.0,0.0,0.0,13
2,3,2.0,1.0,0.0,13
2,4,1.0,1.0,0.0,13
3,2,2.0,1.0,0.0,13
4,2,1.0,1.0,0.0,13
0,1,1.0,0.0,0.0,14
1,0,1.0,0.0,0.0,14
2,3,1.0,0.0,0.0,14
2,5,2.0,1.0,0.0,14
2,6,1.0,1.0,0.0,14
3,2,1.0,0.0,0.0,14
3,4,1.0,0.0,0.0,14
4,3,1.0,0.0,0.0,14
5,2,2.0,1.0,0.0,14
6,2,1.0,1.0,0.0,14
0,1,1.0,0.0,0.0,15
1,0,1.0,0.0,0.0,15
1,2,1.0,0.0,0.0,15
2,1,1.0,0.0,0.0,15
2,3,1.5,1.0,1.0,15
2,6,1.5,1.0,1.0,15
3,2,1.5,1.0,1.0,15
3,4,1.5,1.0,1.0,15
4,3,1.5,1.0,1.0,15
4,5,1.5,1.0,1.0,15
5,4,1.5,1.0,1.0,15
5,6,1.5,1.0,1.0,15
5,7,1.0,0.0,0.0,15
6,2,1.5,1.0,1.0,15
6,5,1.5,1.0,1.0,15
7,5,1.0,0.0,0.0,15
0,1,1.0,0.0,0.0,16
0,7,1.0,0.0,0.0,16
1,0,1.0,0.0,0.0,16
1,2,1.5,1.0,1.0,16
1,5,1.5,1.0,1.0,16
2,1,1.5,1.0,1.0,16
2,3,1.5,1.0,1.0,16
3,2,1.5,1.0,1.0,16
3,4,1.5,1.0,1.0,16
3,6,1.0,0.0,0.0,16
4,3,1.5,1.0,1.0,16
4,5,1.5,1.0,1.0,16
5,1,1.5,1.0,1.0,16
5,4,1.5,1.0,1.0,16
6,3,1.0,0.0,0.0,16
7,0,1.0,0.0,0.0,16
7,8,1.0,0.0,0.0,16
8,7,1.0,0.0,0.0,16
8,9,1.0,0.0,0.0,16
9,8,1.0,0.0,0.0,16
10,11,1.0,0.0,0.0,16
10,12,1.0,0.0,0.0,16
10,13,1.0,0.0,0.0,16
10,14,1.0,0.0,0.0,16
11,10,1.0,0.0,0.0,16
12,10,1.0,0.0,0.0,16
13,10,1.0,0.0,0.0,16
14,10,1.0,0.0,0.0,16
0,1,1.0,0.0,0.0,17
1,0,1.0,0.0,0.0,17
2,3,1.0,0.0,0.0,17
