graph_id,num_nodes,num_edges,label
0,14,26,23.920000076293945
1,15,28,16.25
2,25,48,19.450000762939453
3,5,6,10.100000381469727
4,12,22,19.290000915527344
5,9,16,19.0
6,11,20,20.899999618530273
7,12,22,23.90999984741211
8,6,8,20.6200008392334
9,16,28,22.1299991607666
10,54,116,19.690000534057617
11,28,54,22.399999618530273
12,6,8,23.010000228881836
13,5,6,24.09000015258789
14,7,10,16.420000076293945
15,9,16,21.540000915527344
16,15,28,15.369999885559082
17,6,8,22.809999465942383
18,5,6,24.079999923706055
19,7,10,21.440000534057617
20,11,18,22.739999771118164
21,15,28,13.989999771118164
22,15,28,17.030000686645508
23,16,30,15.59000015258789
24,26,50,23.15999984741211
25,26,50,23.34000015258789
26,14,26,16.5
27,20,36,21.59000015258789
28,26,48,20.899999618530273
29,22,40,21.690000534057617
30,24,44,21.90999984741211
31,15,28,19.1299991607666
32,18,32,20.459999084472656
33,6,8,20.010000228881836
34,29,60,25.100000381469727
35,28,56,22.100000381469727
36,14,28,15.9399995803833
37,13,24,18.239999771118164
38,28,62,23.610000610351562
39,22,46,23.18000030517578
40,13,24,22.860000610351562
41,15,28,22.309999465942383
42,25,46,21.579999923706055
43,11,20,22.329999923706055
44,13,24,20.190000534057617
45,6,8,17.15999984741211
46,16,30,11.100000381469727
47,6,8,14.470000267028809
48,13,24,18.0
49,6,8,23.360000610351562
50,25,48,19.799999237060547
51,26,50,20.100000381469727
52,15,28,17.6299991607666
53,23,44,21.15999984741211
54,17,32,22.030000686645508
55,6,8,14.819999694824219
56,6,8,15.960000038146973
57,12,22,19.600000381469727
58,17,32,14.760000228881836
59,15,28,16.0
60,34,74,23.40999984741211
61,11,20,21.399999618530273
62,15,28,21.0
63,15,28,22.0
64,13,24,22.100000381469727
65,25,48,20.75
66,11,20,22.139999389648438
67,8,14,20.399999618530273
68,11,20,22.010000228881836
69,19,36,22.459999084472656
70,17,32,23.200000762939453
71,26,50,23.010000228881836
72,14,26,14.369999885559082
73,15,28,16.8700008392334
74,9,16,20.0
75,9,16,18.200000762939453
76,9,16,19.0
77,6,8,19.209999084472656
78,16,30,22.450000762939452
79,12,22,21.81999969482422
80,12,22,22.860000610351562
81,9,14,20.5
82,13,24,22.600000381469727
83,15,28,22.420000076293945
84,11,20,15.289999961853027
85,17,32,17.510000228881836
86,6,8,18.989999771118164
87,5,6,3.869999885559082
88,8,12,5.880000114440918
89,7,10,20.559999465942383
90,10,18,20.760000228881836
91,17,32,13.0
92,10,18,14.140000343322754
93,9,16,20.329999923706055
94,13,24,14.319999694824219
95,15,28,18.100000381469727
96,26,52,17.399999618530273
97,17,32,18.010000228881836
98,25,48,20.100000381469727
99,15,28,15.699999809265137
100,6,8,8.850000381469727
101,17,32,13.1899995803833
102,13,24,22.520000457763672
103,15,28,14.1899995803833
104,6,8,20.520000457763672
105,19,36,18.809999465942383
106,15,28,13.210000038146973
107,13,24,19.0
108,19,36,19.399999618530273
109,26,50,20.0
110,32,62,17.0
111,14,26,23.25
112,8,12,20.979999542236328
113,24,50,18.200000762939453
114,11,20,18.219999313354492
115,37,74,16.940000534057617
116,13,24,19.799999237060547
117,21,44,17.309999465942383
118,27,52,20.299999237060547
119,12,22,9.920000076293945
120,9,16,15.09000015258789
121,11,20,5.880000114440918
122,11,20,10.550000190734863
123,11,20,15.600000381469727
124,15,28,13.0
125,25,46,16.100000381469727
126,15,28,18.420000076293945
127,9,16,11.800000190734863
128,37,74,8.15999984741211
129,11,20,18.719999313354492
130,9,16,20.030000686645508
131,15,28,17.329999923706055
132,36,72,19.510000228881836
133,10,18,19.209999084472656
134,10,18,18.3799991607666
135,10,18,16.34000015258789
136,13,24,2.440000057220459
137,10,18,3.559999942779541
138,11,20,3.930000066757202
139,18,32,5.630000114440918
140,11,20,12.5
141,22,42,11.550000190734863
142,9,16,20.149999618530273
143,18,34,20.049999237060547
144,25,48,19.860000610351562
145,12,22,19.290000915527344
146,14,26,20.239999771118164
147,15,28,22.110000610351562
148,16,30,23.450000762939453
149,15,28,17.059999465942383
150,24,44,23.0
151,8,14,22.459999084472656
152,14,26,20.139999389648438
153,13,24,25.06999969482422
154,12,22,17.06999969482422
155,24,44,22.100000381469727
156,14,26,23.239999771118164
